City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
91,Pangody,65.85,74.4859,-26.95,100,24,4.83,RU,2021-03-30 19:06:18
92,Ouadda,8.0777,22.4007,77.9,24,55,2.06,CF,2021-03-30 19:06:18
93,Vanimo,-2.6741,141.3028,77.32,88,100,0.89,PG,2021-03-30 19:06:18
94,Hami,42.8,93.45,46.6,48,100,10.09,CN,2021-03-30 19:06:18
95,Cabudare,10.0289,-69.0894,84.2,51,40,5.75,VE,2021-03-30 19:06:18
96,Dandong,40.1292,124.3947,44.13,44,88,2.04,CN,2021-03-30 19:06:19
97,Cherskiy,68.75,161.3,-15.9,100,53,4.34,RU,2021-03-30 19:06:19
98,Santa Isabel Do Rio Negro,-0.4139,-65.0192,74.59,98,100,1.74,BR,2021-03-30 19:06:19
99,Plastun,44.7561,136.2939,36.61,85,37,4.83,RU,2021-03-30 19:06:19
100,Kachug,53.9606,105.8817,14.31,95,69,3.04,RU,2021-03-30 19:06:19
101,Cockburn Town,21.4612,-71.1419,80.6,65,40,17.27,TC,2021-03-30 19:06:19
102,Half Moon Bay,37.4636,-122.4286,69.8,18,1,13.8,US,2021-03-30 19:06:19
103,Cape Town,-33.9258,18.4232,66.99,77,0,9.22,ZA,2021-03-30 19:04:32
104,Naranjal,-2.6667,-79.6167,86.0,62,81,5.75,EC,2021-03-30 19:06:20
105,Bereda,43.2686,-7.5406,64.4,68,0,1.14,ES,2021-03-30 19:06:20
106,Norman Wells,65.282,-126.8329,6.8,78,90,5.75,CA,2021-03-30 19:06:20
107,Constitucion,-35.3333,-72.4167,64.04,69,9,9.42,CL,2021-03-30 19:06:20
108,Mvuma,-19.2792,30.5283,57.85,66,11,8.75,ZW,2021-03-30 19:06:21
109,Beringovskiy,63.05,179.3167,-5.82,85,14,6.24,RU,2021-03-30 19:06:21
110,Saint-Joseph,-21.3667,55.6167,78.8,73,0,3.44,RE,2021-03-30 19:06:21
111,Port-Gentil,-0.7193,8.7815,80.6,89,90,12.66,GA,2021-03-30 19:06:21
112,Beloha,-25.1667,45.05,67.96,73,37,6.33,MG,2021-03-30 19:06:21
113,Guatire,10.4762,-66.5427,80.6,78,40,4.61,VE,2021-03-30 19:06:22
114,Cidreira,-30.1811,-50.2056,71.08,76,41,12.91,BR,2021-03-30 19:06:22
115,Victoria,22.2855,114.1577,78.01,86,13,3.0,HK,2021-03-30 19:02:10
116,Yar-Sale,66.8333,70.8333,-11.4,91,100,9.44,RU,2021-03-30 19:06:23
117,Mogadishu,2.0371,45.3438,81.03,73,3,15.57,SO,2021-03-30 19:06:23
118,Bumba,2.1833,22.4667,74.62,81,100,1.5,CD,2021-03-30 19:06:23
119,Paamiut,61.994,-49.6678,36.03,90,100,43.26,GL,2021-03-30 19:06:24
120,San Quintin,30.4833,-115.95,64.94,62,0,10.92,MX,2021-03-30 19:06:24
121,Port Elizabeth,-33.918,25.5701,60.8,94,20,14.97,ZA,2021-03-30 19:06:24
122,Gaspe,48.8334,-64.4819,30.2,51,20,14.97,CA,2021-03-30 19:06:24
123,Carnarvon,-24.8667,113.6333,78.8,78,8,12.66,AU,2021-03-30 19:06:24
124,Qaanaaq,77.484,-69.3632,1.11,73,100,4.92,GL,2021-03-30 19:06:24
125,Namibe,-15.1961,12.1522,75.02,85,100,9.78,AO,2021-03-30 19:04:51
126,Xining,36.6167,101.7667,40.05,45,100,0.6,CN,2021-03-30 19:05:32
127,Prince Rupert,54.3161,-130.3201,41.0,100,90,4.61,CA,2021-03-30 19:06:25
128,Arraial Do Cabo,-22.9661,-42.0278,89.6,65,75,8.05,BR,2021-03-30 19:06:25
129,East London,-33.0153,27.9116,69.8,94,0,10.36,ZA,2021-03-30 19:06:25
130,Mahebourg,-20.4081,57.7,73.4,94,40,8.05,MU,2021-03-30 19:06:25
131,Tall Kayf,37.0833,41.0667,50.0,53,0,9.22,TR,2021-03-30 19:06:25
132,Sinnamary,5.3833,-52.95,79.43,83,78,13.44,GF,2021-03-30 19:06:25
133,Sechura,-5.5569,-80.8222,82.47,56,22,13.51,PE,2021-03-30 19:06:26
134,Uige,-7.6087,15.0613,67.62,95,90,1.66,AO,2021-03-30 19:04:53
135,Nishihara,26.1842,127.7558,71.6,88,75,3.44,JP,2021-03-30 19:06:27
136,Witu,-2.3889,40.4382,81.43,81,52,12.15,KE,2021-03-30 19:06:27
137,Grodkow,50.6984,17.3845,59.0,55,0,1.99,PL,2021-03-30 19:06:28
138,Adrar,20.5022,-10.0711,88.86,7,32,8.39,MR,2021-03-30 19:02:12
