City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
150,Ribeira Grande,PT,38.5167,-28.7,57.2,88,40,4.07,scattered clouds
151,Natal,BR,-5.795,-35.2094,77.0,88,40,8.05,scattered clouds
152,Nassau,US,40.7507,-73.5829,48.99,81,1,3.44,clear sky
153,Vila Franca Do Campo,PT,37.7167,-25.4333,57.2,88,40,2.3,scattered clouds
154,Hithadhoo,MV,-0.6,73.0833,82.78,66,20,11.05,few clouds
155,Salalah,OM,17.0151,54.0924,86.0,48,0,3.44,clear sky
156,Honiara,SB,-9.4333,159.95,76.03,85,100,0.87,heavy intensity rain
157,Castro,BR,-24.7911,-50.0119,59.54,88,91,8.55,overcast clouds
158,Batsfjord,NO,70.6345,29.7185,33.8,93,75,35.68,snow
159,Provideniya,RU,64.3833,-173.3,6.8,72,0,4.47,clear sky
160,Tuy Hoa,VN,13.0833,109.3,84.36,66,80,12.01,broken clouds
161,Dingle,PH,10.9995,122.6711,87.15,57,99,9.51,overcast clouds
162,Batagay-Alyta,RU,67.8006,130.4114,5.83,82,100,10.45,overcast clouds
163,Nola,IT,40.922,14.5329,48.0,49,0,3.44,clear sky
164,Tornio,FI,65.8481,24.1466,24.8,100,90,5.75,overcast clouds
165,Chuy,UY,-33.6971,-53.4616,70.32,78,92,9.35,light rain
166,Yumen,CN,40.2833,97.2,60.13,21,52,3.96,broken clouds
167,Ayagoz,KZ,47.9714,80.4392,60.6,32,22,8.46,few clouds
168,Pangai,TO,-19.8,-174.35,78.8,65,40,2.8,scattered clouds
169,Manama,BH,26.2154,50.5832,84.2,30,0,6.91,clear sky
170,Zhanaozen,KZ,43.3,52.8,75.7,24,100,21.52,overcast clouds
171,Dunedin,NZ,-45.8742,170.5036,55.0,88,93,4.0,overcast clouds
172,Yarada,IN,17.65,83.2667,87.8,62,40,11.5,haze
173,Tongren,CN,27.7172,109.1853,60.53,76,100,4.07,overcast clouds
